absentCount,abstainCount,againstCount,forCount,id,result,resultType,subject,voteCount,voteDate,names
318,2,6,116,104302,Не принято,количественное,"(2 чтение таб. 2 отклонённые поправки - поправка 9) О проекте федерального закона № 344028-7 ""О внесении изменений в отдельные законодательные акты Российской Федерации"" (в части оптимизации нового порядка применения контрольно-кассовой техники)",124,06.19.2018,О проекте федерального закона № 344028-7
87,0,0,355,104303,Принято,количественное,"(2 чтение) О проекте федерального закона № 344028-7 ""О внесении изменений в отдельные законодательные акты Российской Федерации"" (в части оптимизации нового порядка применения контрольно-кассовой техники)",355,06.19.2018,О проекте федерального закона № 344028-7
71,0,0,371,104304,Принято,количественное,"(2 чтение таб. 1 принятые поправки) О проекте федерального закона № 1039273-6 ""О внесении изменения в статью 217 части второй Налогового кодекса Российской Федерации"" (об освобождении от обложения НДФЛ доходов физических лиц, полученных от реализации бытовой макулатуры)",371,06.19.2018,О проекте федерального закона № 1039273-6
130,0,0,312,104305,Принято,количественное,"(2 чтение таб. 2 отклонённые поправки) О проекте федерального закона № 1039273-6 ""О внесении изменения в статью 217 части второй Налогового кодекса Российской Федерации"" (об освобождении от обложения НДФЛ доходов физических лиц, полученных от реализации бытовой макулатуры)",312,06.19.2018,О проекте федерального закона № 1039273-6
50,0,0,392,104306,Принято,количественное,"(2 чтение) О проекте федерального закона № 1039273-6 ""О внесении изменения в статью 217 части второй Налогового кодекса Российской Федерации"" (об освобождении от обложения НДФЛ доходов физических лиц, полученных от реализации бытовой макулатуры)",392,06.19.2018,О проекте федерального закона № 1039273-6
74,1,26,341,104307,Принято,количественное,"(2 чтение таб. 1 принятые поправки) О проекте федерального закона № 434243-7 ""Об особенностях реорганизации федерального государственного унитарного предприятия ""Почта России"", основах деятельности акционерного общества ""Почта России"" и о внесении изменений в отдельные законодательные акты Российской Федерации""",368,06.19.2018,О проекте федерального закона № 434243-7
128,0,0,314,104308,Принято,количественное,"(2 чтение таб. 2 отклонённые поправки) О проекте федерального закона № 434243-7 ""Об особенностях реорганизации федерального государственного унитарного предприятия ""Почта России"", основах деятельности акционерного общества ""Почта России"" и о внесении изменений в отдельные законодательные акты Российской Федерации""",314,06.19.2018,О проекте федерального закона № 434243-7
79,0,29,334,104309,Принято,количественное,"(2 чтение) О проекте федерального закона № 434243-7 ""Об особенностях реорганизации федерального государственного унитарного предприятия ""Почта России"", основах деятельности акционерного общества ""Почта России"" и о внесении изменений в отдельные законодательные акты Российской Федерации""",363,06.19.2018,О проекте федерального закона № 434243-7
125,0,2,315,104310,Принято,количественное,"(2 чтение таб. 1 принятые поправки) О проекте федерального закона № 157778-7 ""О внесении изменений в отдельные законодательные акты Российской Федерации"" (в части признания информационных систем объектами соглашения)",317,06.19.2018,О проекте федерального закона № 157778-7
126,0,0,316,104311,Принято,количественное,"(2 чтение таб. 2 отклонённые поправки) О проекте федерального закона № 157778-7 ""О внесении изменений в отдельные законодательные акты Российской Федерации"" (в части признания информационных систем объектами соглашения)",316,06.19.2018,О проекте федерального закона № 157778-7
413,1,0,28,104312,Не принято,количественное,"(2 чтение таб. 2 отклонённые поправки - поправка 6) О проекте федерального закона № 157778-7 ""О внесении изменений в отдельные законодательные акты Российской Федерации"" (в части признания информационных систем объектами соглашения)",29,06.19.2018,О проекте федерального закона № 157778-7
